NameFIPS,Type,TimeFrame,Data
Abbeville County - 45001,County,1999,48165.0
Abbeville County - 45001,County,2006-2010,37343.0
Abbeville County - 45001,County,2013-2017,35254.0
Acadia Parish - 22001,County,1999,39382.0
Acadia Parish - 22001,County,2006-2010,41983.0
Acadia Parish - 22001,County,2013-2017,40492.0
Accomack County - 51001,County,1999,44645.0
Accomack County - 51001,County,2006-2010,46615.0
Accomack County - 51001,County,2013-2017,42260.0
Ada County - 16001,County,1999,68097.0
Ada County - 16001,County,2006-2010,62910.0
Ada County - 16001,County,2013-2017,60151.0
Adair County - 19001,County,1999,51920.0
Adair County - 21001,County,1999,35502.0
Adair County - 29001,County,1999,39372.0
Adair County - 40001,County,1999,36721.0
Adair County - 19001,County,2006-2010,50930.0
Adair County - 21001,County,2006-2010,33614.0
Adair County - 29001,County,2006-2010,35127.0
